Species,Population,Latitude,Longitude,Year_start,Year_end,Temperature,Vial,Replicate,Sex,Thorax_length,l2,l3p,l3d,lpd,l3,w1,w2,w3,wing_loading
D._aldrichi,Binjour,-25.52,151.45,1994,1994,30,9,2,female,1.076,1.523,0.542,1.277,1.817,1.817,0.826,1.128,0.913,1.688
D._aldrichi,Binjour,-25.52,151.45,1994,1994,30,9,2,male,1.010,1.463,0.498,1.259,1.757,1.754,0.831,1.088,0.952,1.737
D._aldrichi,Binjour,-25.52,151.45,1994,1994,30,9,3,female,1.145,1.698,0.567,1.469,2.035,2.034,0.867,1.217,0.979,1.777
D._aldrichi,Binjour,-25.52,151.45,1994,1994,30,9,3,male,1.059,1.478,0.533,1.248,1.780,1.780,0.808,1.043,0.941,1.681
D._aldrichi,Binjour,-25.52,151.45,1994,1994,30,10,1,female,1.066,1.414,0.516,1.139,1.654,1.652,0.813,1.114,0.845,1.550
D._aldrichi,Binjour,-25.52,151.45,1994,1994,30,10,1,male,0.974,1.482,0.543,1.177,1.720,1.719,0.762,1.041,0.884,1.764
D._aldrichi,Binjour,-25.52,151.45,1994,1994,30,10,2,female,1.025,1.497,0.518,1.258,1.776,1.775,0.788,1.059,0.924,1.731
D._aldrichi,Binjour,-25.52,151.45,1994,1994,30,10,2,male,1.027,1.554,0.511,1.336,1.847,1.847,0.846,1.160,0.934,1.797
D._aldrichi,Binjour,-25.52,151.45,1994,1994,30,10,3,male,1.049,1.478,0.483,1.274,1.757,1.756,0.831,1.089,0.939,1.674
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,1,1,female,1.166,1.910,0.578,1.675,2.254,2.252,0.982,1.381,1.123,1.932
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,1,1,male,1.105,1.768,0.601,1.531,2.132,2.132,0.963,1.315,1.072,1.929
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,1,2,female,1.174,1.829,0.622,1.549,2.170,2.170,0.997,1.360,1.117,1.848
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,1,2,male,1.086,1.700,0.595,1.505,2.100,2.098,0.937,1.251,1.056,1.932
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,1,3,female,1.199,1.864,0.585,1.659,2.244,2.242,1.009,1.376,1.142,1.870
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,1,female,1.186,1.872,0.628,1.571,2.199,2.199,1.002,1.356,1.143,1.854
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,1,male,1.121,1.781,0.621,1.518,2.139,2.138,0.975,1.308,1.103,1.907
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,2,female,1.176,1.872,0.630,1.579,2.207,2.207,0.966,1.345,1.103,1.876
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,2,male,1.064,1.747,0.601,1.465,2.066,2.066,0.974,1.293,1.106,1.941
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,3,female,1.147,1.831,0.595,1.566,2.161,2.160,0.996,1.359,1.106,1.883
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,3,male,1.102,1.753,0.593,1.466,2.060,2.059,0.924,1.262,1.055,1.869
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,1,female,1.191,1.830,0.611,1.572,2.182,2.181,1.009,1.330,1.187,1.831
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,1,male,1.144,1.775,0.614,1.500,2.114,2.113,0.942,1.263,1.086,1.847
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,2,female,1.156,1.923,0.690,1.577,2.266,2.265,1.007,1.380,1.140,1.959
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,2,male,1.124,1.775,0.600,1.538,2.138,2.137,0.990,1.331,1.096,1.901
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,3,female,1.191,1.824,0.599,1.610,2.209,2.207,1.015,1.359,1.135,1.854
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,3,male,1.148,1.822,0.619,1.567,2.185,2.184,0.986,1.342,1.104,1.903
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,1,female,1.215,1.919,0.655,1.672,2.327,2.327,1.016,1.384,1.145,1.916
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,1,male,1.162,1.795,0.601,1.548,2.149,2.149,1.007,1.332,1.131,1.850
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,2,female,1.199,1.930,0.630,1.661,2.290,2.290,1.004,1.412,1.138,1.910
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,2,male,1.127,1.770,0.611,1.543,2.154,2.152,0.976,1.311,1.105,1.910
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,3,female,1.157,1.843,0.654,1.527,2.182,2.181,1.000,1.339,1.145,1.886
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,3,male,1.117,1.718,0.554,1.513,2.067,2.065,0.942,1.253,1.076,1.848
