Species,l2_log,l3p_log,lpd_log,l3_log,w1_log,w2_log,w3_log,wing_loading_log
0,0.07510747248680569,0.07973496801885352,0.04783732941416006,0.04688358589885046,0.050693114315518165,0.07045846364856158,0.08617769624105241,0.10705907229340797
0,0.24998020526776962,0.12486898204586927,0.23980399220731693,0.2405904649179306,0.13627761829254795,0.19474407679251202,0.19556678354397525,0.09440067542148449
0,0.10436001532424286,0.08984070399978934,0.09531017980432493,0.09440067542148449,0.08892620919440149,0.1115413747329077,0.1310282624064042,0.11243542932978838
0,0.32353172534547825,0.13627761829254775,0.283674051054242,0.28517894223366247,0.11867152971749874,0.2053868297249509,0.19885085874516517,0.15443635330441896
0,0.14583044821153973,0.0962188577405429,0.11422114409002286,0.11332868530700327,0.071389996086673,0.09166718852582408,0.12575120530556044,0.1319050708799388
0,0.26313319953036834,0.14583044821153954,0.26926348692776303,0.27079020478156274,0.15272108701766393,0.20620083058389801,0.211880359035499,0.11154137473290751
0,0.2326977641190216,0.13627761829254775,0.23507212217948364,0.23586232372198446,0.1239859797809913,0.18481843699254208,0.1764711431157791,0.11154137473290751
0,0.2783890255401884,0.16041672140590466,0.30748469974796055,0.3074846997479609,0.14928170271575447,0.2126890934103511,0.19638881400539018,0.1484200051182734
0,0.08892620919440189,0.08157998699242285,0.07045846364856137,0.07045846364856137,0.07881118042428985,0.08892620919440168,0.1275133202989597,0.09075436326846432
0,0.2791457414294948,0.1319050708799386,0.2730759200624188,0.27231459532065927,0.15272108701766393,0.2175278125285743,0.21026092548319605,0.1301506844650453
0,0.21349717426240453,0.10705907229340778,0.18315454309784654,0.1823215567939548,0.11154137473290751,0.15357908792830077,0.17058630057553367,0.10074990310014315
0,0.295650242100958,0.15443635330441896,0.28968007511445387,0.2896800751144542,0.11955923505763945,0.18730909830499384,0.1922718876471227,0.2021241840901345
0,0.11422114409002306,0.08709470685093373,0.0852598439508234,0.0861776962410526,0.05732506661926956,0.07325046173959295,0.12044615307586726,0.1380212978973748
0,0.0861776962410526,0.09075436326846412,0.08801087732271337,0.08709470685093394,0.05354076692802997,0.08250122151174397,0.09166718852582387,0.14583044821153954
0,0.22314355131420993,0.10436001532424266,0.2223432311434407,0.22314355131420976,0.1310282624064042,0.17898265552844014,0.17311261770864483,0.158711691154821
0,0.314080546306312,0.11778303565638346,0.30748469974796055,0.3074846997479609,0.20782684720231653,0.26620304077465684,0.25928259793008296,0.17814618538347404
0,0.2592825979300832,0.11154137473290732,0.25309062768216206,0.25309062768216206,0.11511280710050467,0.19144646457095546,0.16466662155523393,0.09984533496971633
0,0.15100287353652758,0.08157998699242285,0.14583044821153954,0.14496577025018584,0.07045846364856158,0.11689375147149962,0.11422114409002286,0.16551443847757352
0,0.31845373111853476,0.126632650933366,0.30158497762077224,0.3008450589780618,0.09440067542148449,0.20294084399669057,0.16211884947643512,0.17311261770864483
0,0.10975086395911929,0.11600367575630613,0.11064652008706365,0.11064652008706365,0.07788653865707139,0.0980337402713656,0.11689375147149943,0.11332868530700327
0,0.2311117209633868,0.1292723357041391,0.23901690047049992,0.23980399220731727,0.14323416808590775,0.18315454309784673,0.20457216572877446,0.10436001532424286
0,0.11867152971749874,0.0852598439508234,0.1327811112338184,0.13278111123381878,0.06485097231961648,0.1115413747329077,0.08984070399978954,0.16211884947643532
